iteration,message_bytes,elapsed_ns,status
0,64,54131,0
1,64,122280,0
2,64,74445,0
3,64,51015,0
4,64,102327,0
5,64,110391,0
6,64,49583,0
7,64,38695,0
8,64,39154,0
9,64,103022,0
10,64,38650,0
11,64,79790,0
12,64,38796,0
13,64,38592,0
14,64,38727,0
15,64,161140,0
16,64,38715,0
17,64,110492,0
18,64,84552,0
19,64,72796,0
20,64,64701,0
21,64,63472,0
22,64,39566,0
23,64,51559,0
24,64,86917,0
25,64,74340,0
26,64,59532,0
27,64,73460,0
28,64,38668,0
29,64,38616,0
30,64,151823,0
31,64,52347,0
32,64,38711,0
33,64,97427,0
34,64,38489,0
35,64,79686,0
36,64,76982,0
37,64,64799,0
38,64,110560,0
39,64,86442,0
40,64,136327,0
41,64,48978,0
42,64,112149,0
43,64,38727,0
44,64,51785,0
45,64,152801,0
46,64,63310,0
47,64,105082,0
48,64,89176,0
49,64,38753,0
50,64,102478,0
51,64,113622,0
52,64,38683,0
53,64,116430,0
54,64,132811,0
55,64,49616,0
56,64,74449,0
57,64,38629,0
58,64,38582,0
59,64,252839,0
60,64,79109,0
61,64,157052,0
62,64,59249,0
63,64,182703,0
64,64,51703,0
65,64,38652,0
66,64,125683,0
67,64,38739,0
68,64,220267,0
69,64,100444,0
70,64,157381,0
71,64,87163,0
72,64,113291,0
73,64,38633,0
74,64,42028,0
75,64,61883,0
76,64,129936,0
77,64,120620,0
78,64,38643,0
79,64,53880,0
80,64,51638,0
81,64,154082,0
82,64,38720,0
83,64,84413,0
84,64,84999,0
85,64,74855,0
86,64,273483,0
87,64,38897,0
88,64,61256,0
89,64,74968,0
90,64,64832,0
91,64,51517,0
92,64,76929,0
93,64,38641,0
94,64,38668,0
95,64,38770,0
96,64,38688,0
97,64,38582,0
98,64,84525,0
99,64,85653,0
100,64,136048,0
101,64,80494,0
102,64,51645,0
103,64,38498,0
104,64,109059,0
105,64,217192,0
106,64,38715,0
107,64,38644,0
108,64,38682,0
109,64,109292,0
110,64,38770,0
111,64,87714,0
112,64,63202,0
113,64,57139,0
114,64,133648,0
115,64,64573,0
116,64,133340,0
117,64,88537,0
118,64,50881,0
119,64,74842,0
120,64,38718,0
121,64,149334,0
122,64,202842,0
123,64,79113,0
124,64,38737,0
125,64,50312,0
126,64,181812,0
127,64,49510,0
128,64,38683,0
129,64,84998,0
130,64,38584,0
131,64,137823,0
132,64,38666,0
133,64,62601,0
134,64,63191,0
135,64,38586,0
136,64,51666,0
137,64,79213,0
138,64,221902,0
139,64,51001,0
140,64,52965,0
141,64,63450,0
142,64,75631,0
143,64,180068,0
144,64,292652,0
145,64,43909,0
146,64,39010,0
147,64,64129,0
148,64,38634,0
149,64,39139,0
150,64,76477,0
151,64,84135,0
152,64,140306,0
153,64,44560,0
154,64,48631,0
155,64,49956,0
156,64,117036,0
157,64,63218,0
158,64,61908,0
159,64,138688,0
160,64,38716,0
161,64,110318,0
162,64,64021,0
163,64,63769,0
164,64,77520,0
165,64,38627,0
166,64,53962,0
167,64,38732,0
168,64,101041,0
169,64,38626,0
170,64,111925,0
171,64,111364,0
172,64,63190,0
173,64,101355,0
174,64,60060,0
175,64,51657,0
176,64,62507,0
177,64,102352,0
178,64,72084,0
179,64,66193,0
180,64,100433,0
181,64,74390,0
182,64,48857,0
183,64,61873,0
184,64,127824,0
185,64,75402,0
186,64,38695,0
187,64,116661,0
188,64,210393,0
189,64,61338,0
190,64,82568,0
191,64,38657,0
192,64,83048,0
193,64,50932,0
194,64,62942,0
195,64,71471,0
196,64,38726,0
197,64,139274,0
198,64,164243,0
199,64,38769,0
200,64,38606,0
201,64,81270,0
202,64,103200,0
203,64,49549,0
204,64,232420,0
205,64,53738,0
206,64,96734,0
207,64,59849,0
208,64,96049,0
209,64,51913,0
210,64,53121,0
211,64,103576,0
212,64,87809,0
213,64,88071,0
214,64,38607,0
215,64,38571,0
216,64,38687,0
217,64,103811,0
218,64,63927,0
219,64,38702,0
220,64,89085,0
221,64,38589,0
222,64,38659,0
223,64,38778,0
224,64,108884,0
225,64,67171,0
226,64,64415,0
227,64,74311,0
228,64,51601,0
229,64,38677,0
230,64,78161,0
231,64,52442,0
232,64,175489,0
233,64,142786,0
234,64,63806,0
235,64,85233,0
236,64,76050,0
237,64,67882,0
238,64,74369,0
239,64,91291,0
240,64,49111,0
241,64,159376,0
242,64,98744,0
243,64,61881,0
244,64,73573,0
245,64,75499,0
246,64,53118,0
247,64,61987,0
248,64,70196,0
249,64,64061,0
250,64,64949,0
251,64,61381,0
252,64,73631,0
253,64,62651,0
254,64,64479,0
255,64,49527,0
256,64,107207,0
257,64,65377,0
258,64,164229,0
259,64,117854,0
260,64,53983,0
261,64,38492,0
262,64,53826,0
263,64,38562,0
264,64,41800,0
265,64,48924,0
266,64,65471,0
267,64,122146,0
268,64,60459,0
269,64,50911,0
270,64,50814,0
271,64,51790,0
272,64,90653,0
273,64,85800,0
274,64,113167,0
275,64,38685,0
276,64,91408,0
277,64,48887,0
278,64,41443,0
279,64,87170,0
280,64,50845,0
281,64,103800,0
282,64,76390,0
283,64,88040,0
284,64,177199,0
285,64,74895,0
286,64,87437,0
287,64,38553,0
288,64,38605,0
289,64,48918,0
290,64,82379,0
291,64,44060,0
292,64,62897,0
293,64,80089,0
294,64,76372,0
295,64,38619,0
296,64,51103,0
297,64,103955,0
298,64,89142,0
299,64,38689,0
300,64,89327,0
301,64,134031,0
302,64,41083,0
303,64,306259,0
304,64,38973,0
305,64,38607,0
306,64,126295,0
307,64,74226,0
308,64,38683,0
309,64,38393,0
310,64,71498,0
311,64,63206,0
312,64,63339,0
313,64,209590,0
314,64,77250,0
315,64,57549,0
316,64,110486,0
317,64,202868,0
318,64,38692,0
319,64,59998,0
320,64,64785,0
321,64,38539,0
322,64,38677,0
323,64,65320,0
324,64,110571,0
325,64,48836,0
326,64,38576,0
327,64,84403,0
328,64,62740,0
329,64,96261,0
330,64,76270,0
331,64,38514,0
332,64,61894,0
333,64,38751,0
334,64,49090,0
335,64,38726,0
336,64,85100,0
337,64,48687,0
338,64,59956,0
339,64,60076,0
340,64,357412,0
341,64,62365,0
342,64,184347,0
343,64,38782,0
344,64,100925,0
345,64,51122,0
346,64,78345,0
347,64,61243,0
348,64,78633,0
349,64,80612,0
350,64,38595,0
351,64,85045,0
352,64,103792,0
353,64,41891,0
354,64,99408,0
355,64,51794,0
356,64,52372,0
357,64,62582,0
358,64,38765,0
359,64,53673,0
360,64,93667,0
361,64,38850,0
362,64,138752,0
363,64,38690,0
364,64,51798,0
365,64,148246,0
366,64,38667,0
367,64,91597,0
368,64,61931,0
369,64,176266,0
370,64,242193,0
371,64,51014,0
372,64,38588,0
373,64,62675,0
374,64,48869,0
375,64,62031,0
376,64,158933,0
377,64,80611,0
378,64,39557,0
379,64,134673,0
380,64,50366,0
381,64,72807,0
382,64,38697,0
383,64,76495,0
384,64,38651,0
385,64,100281,0
386,64,49561,0
387,64,156549,0
388,64,74347,0
389,64,117418,0
390,64,206945,0
391,64,38898,0
392,64,111385,0
393,64,91491,0
394,64,64772,0
395,64,75434,0
396,64,53737,0
397,64,61257,0
398,64,48812,0
399,64,66759,0
400,64,88752,0
401,64,50386,0
402,64,138677,0
403,64,76525,0
404,64,48828,0
405,64,38791,0
406,64,145414,0
407,64,104524,0
408,64,38612,0
409,64,61349,0
410,64,76347,0
411,64,64170,0
412,64,108710,0
413,64,141912,0
414,64,59042,0
415,64,75732,0
416,64,94437,0
417,64,51614,0
418,64,160119,0
419,64,38665,0
420,64,72818,0
421,64,61944,0
422,64,123711,0
423,64,172678,0
424,64,75640,0
425,64,99601,0
426,64,64993,0
427,64,38743,0
428,64,166692,0
429,64,38685,0
430,64,116826,0
431,64,53834,0
432,64,78377,0
433,64,124232,0
434,64,38645,0
435,64,75457,0
436,64,38701,0
437,64,174209,0
438,64,60925,0
439,64,247083,0
440,64,63287,0
441,64,202480,0
442,64,79980,0
443,64,140566,0
444,64,112583,0
445,64,44924,0
446,64,73601,0
447,64,130228,0
448,64,49526,0
449,64,76272,0
450,64,153569,0
451,64,69797,0
452,64,108798,0
453,64,38832,0
454,64,87770,0
455,64,104073,0
456,64,53098,0
457,64,57133,0
458,64,38936,0
459,64,49050,0
460,64,114568,0
461,64,38633,0
462,64,92150,0
463,64,121934,0
464,64,79849,0
465,64,90865,0
466,64,139280,0
467,64,61412,0
468,64,213326,0
469,64,64200,0
470,64,52475,0
471,64,62598,0
472,64,161965,0
473,64,64188,0
474,64,72866,0
475,64,76270,0
476,64,88586,0
477,64,38800,0
478,64,86057,0
479,64,38709,0
480,64,50813,0
481,64,48950,0
482,64,129418,0
483,64,38778,0
484,64,38580,0
485,64,53800,0
486,64,77105,0
487,64,48840,0
488,64,38869,0
489,64,103751,0
490,64,75713,0
491,64,38654,0
492,64,113475,0
493,64,52444,0
494,64,38658,0
495,64,38724,0
496,64,171946,0
497,64,61362,0
498,64,38676,0
499,64,53086,0
500,64,97794,0
501,64,95411,0
502,64,51586,0
503,64,101630,0
504,64,103280,0
505,64,38753,0
506,64,62552,0
507,64,49617,0
508,64,105995,0
509,64,38570,0
510,64,91483,0
511,64,155467,0
512,64,262698,0
513,64,60597,0
514,64,63350,0
515,64,38685,0
516,64,101105,0
517,64,38578,0
518,64,50319,0
519,64,50363,0
520,64,60461,0
521,64,53697,0
522,64,112053,0
523,64,75028,0
524,64,38775,0
525,64,38598,0
526,64,67194,0
527,64,49640,0
528,64,149134,0
529,64,49912,0
530,64,73456,0
531,64,62077,0
532,64,38480,0
533,64,60584,0
534,64,63296,0
535,64,38572,0
536,64,64704,0
537,64,56958,0
538,64,120783,0
539,64,59167,0
540,64,85159,0
541,64,149589,0
542,64,157437,0
543,64,105596,0
544,64,52476,0
545,64,75595,0
546,64,38878,0
547,64,88653,0
548,64,41463,0
549,64,62089,0
550,64,75618,0
551,64,171267,0
552,64,165021,0
553,64,115652,0
554,64,84051,0
555,64,107357,0
556,64,104216,0
557,64,51505,0
558,64,78823,0
559,64,38792,0
560,64,89832,0
561,64,48924,0
562,64,66829,0
563,64,79705,0
564,64,38560,0
565,64,87886,0
566,64,38517,0
567,64,139394,0
568,64,100257,0
569,64,78463,0
570,64,77993,0
571,64,90133,0
572,64,154996,0
573,64,87960,0
574,64,113211,0
575,64,104964,0
576,64,73542,0
577,64,92180,0
578,64,76117,0
579,64,38768,0
580,64,38600,0
581,64,51502,0
582,64,49040,0
583,64,38620,0
584,64,38584,0
585,64,52313,0
586,64,38760,0
587,64,49440,0
588,64,90768,0
589,64,38779,0
590,64,38677,0
591,64,78200,0
592,64,61820,0
593,64,64100,0
594,64,50326,0
595,64,38598,0
596,64,49008,0
597,64,117722,0
598,64,276510,0
599,64,38679,0
600,64,64056,0
601,64,42933,0
602,64,141274,0
603,64,38967,0
604,64,38876,0
605,64,77823,0
606,64,111738,0
607,64,197416,0
608,64,38750,0
609,64,53088,0
610,64,93295,0
611,64,43153,0
612,64,163857,0
613,64,61299,0
614,64,85777,0
615,64,88476,0
616,64,50288,0
617,64,123751,0
618,64,49507,0
619,64,38608,0
620,64,130227,0
621,64,38717,0
622,64,59841,0
623,64,230725,0
624,64,38618,0
625,64,103557,0
626,64,38725,0
627,64,307050,0
628,64,62052,0
629,64,49178,0
630,64,38580,0
631,64,38650,0
632,64,38742,0
633,64,131002,0
634,64,67136,0
635,64,105967,0
636,64,64064,0
637,64,38667,0
638,64,38704,0
639,64,89174,0
640,64,74220,0
641,64,79066,0
642,64,38868,0
643,64,49587,0
644,64,91402,0
645,64,63423,0
646,64,38733,0
647,64,125529,0
648,64,38792,0
649,64,69801,0
650,64,38821,0
651,64,101064,0
652,64,167751,0
653,64,48904,0
654,64,220158,0
655,64,49144,0
656,64,63972,0
657,64,66922,0
658,64,113291,0
659,64,150918,0
660,64,64790,0
661,64,48988,0
662,64,96905,0
