bytes,kind,function,source,line,column,su_file
3648,static,PQCP_MLDSA_NATIVE_MLDSA44_C_poly_uniform_4x,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/poly.c,682,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/poly.c.su
3648,static,PQCP_MLDSA_NATIVE_MLDSA44_X86_64_poly_uniform_4x,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/poly.c,682,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/poly.c.su
3456,"dynamic,bounded",shake_128_x4_kat_test,/home/home/pqc/liboqs/tests/test_sha3.c,883,5,tests/CMakeFiles/test_sha3.dir/test_sha3.c.su
3456,"dynamic,bounded",shake_256_x4_kat_test,/home/home/pqc/liboqs/tests/test_sha3.c,1041,5,tests/CMakeFiles/test_sha3.dir/test_sha3.c.su
3360,static,PQCP_MLDSA_NATIVE_MLDSA44_C_poly_uniform_gamma1_4x,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/poly_kl.c,510,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/poly_kl.c.su
3360,static,PQCP_MLDSA_NATIVE_MLDSA44_X86_64_poly_uniform_gamma1_4x,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/poly_kl.c,510,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/poly_kl.c.su
2576,static,shake_128_kat_test,/home/home/pqc/liboqs/tests/test_sha3.c,498,5,tests/CMakeFiles/test_sha3.dir/test_sha3.c.su
2448,static,shake_256_kat_test,/home/home/pqc/liboqs/tests/test_sha3.c,691,5,tests/CMakeFiles/test_sha3.dir/test_sha3.c.su
2176,static,mld_compute_pack_t0_t1,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c,428,12,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c.su
2176,static,mld_compute_pack_t0_t1,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,428,12,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c.su
1824,static,main,/home/home/pqc/liboqs/tests/test_sig.c,279,5,tests/CMakeFiles/test_sig.dir/test_sig.c.su
1792,static,OQS_SIG_alg_identifier,/home/home/pqc/liboqs/src/sig/sig.c,14,21,src/CMakeFiles/oqs.dir/sig/sig.c.su
1344,static,main,/home/home/pqc/liboqs/tests/test_hash.c,272,5,tests/CMakeFiles/test_hash.dir/test_hash.c.su
