incoming,pool,active,queued,unbounded_current_bytes,bounded_current_bytes,bounded_s1_hypothesis_bytes,s3_saving_vs_unbounded,additional_s1_saving
1,1,1,0,17984,17984,14880,0,3104
1,2,1,0,17984,17984,14880,0,3104
1,4,1,0,17984,17984,14880,0,3104
2,1,1,1,33568,17984,14880,15584,3104
2,2,2,0,33568,33568,27360,0,6208
2,4,2,0,33568,33568,27360,0,6208
4,1,1,3,64736,17984,14880,46752,3104
4,2,2,2,64736,33568,27360,31168,6208
4,4,4,0,64736,64736,52320,0,12416
8,1,1,7,127072,17984,14880,109088,3104
8,2,2,6,127072,33568,27360,93504,6208
8,4,4,4,127072,64736,52320,62336,12416
16,1,1,15,251744,17984,14880,233760,3104
16,2,2,14,251744,33568,27360,218176,6208
16,4,4,12,251744,64736,52320,187008,12416
32,1,1,31,501088,17984,14880,483104,3104
32,2,2,30,501088,33568,27360,467520,6208
32,4,4,28,501088,64736,52320,436352,12416
