stack_bytes,mode,descriptor,su_file
4816,static,/home/home/pqc/liboqs/tests/example_kem.c:41:19:example_stack,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/example_kem.dir/example_kem.c.su
3680,static,/home/home/pqc/liboqs/tests/vectors_kem.c:123:20:sanityCheckPK,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/vectors_kem.dir/vectors_kem.c.su
3456,"dynamic,bounded",/home/home/pqc/liboqs/tests/test_sha3.c:883:5:shake_128_x4_kat_test,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sha3.dir/test_sha3.c.su
3456,"dynamic,bounded",/home/home/pqc/liboqs/tests/test_sha3.c:1041:5:shake_256_x4_kat_test,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sha3.dir/test_sha3.c.su
2784,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c:43:5:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_check_pk,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c.su
2784,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c:43:5:PQCP_MLKEM_NATIVE_MLKEM768_C_check_pk,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c.su
2576,static,/home/home/pqc/liboqs/tests/test_sha3.c:498:5:shake_128_kat_test,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sha3.dir/test_sha3.c.su
2448,static,/home/home/pqc/liboqs/tests/test_sha3.c:691:5:shake_256_kat_test,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sha3.dir/test_sha3.c.su
2240,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/sampling.c:152:6:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_poly_rej_uniform_x4,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/sampling.c.su
2240,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/sampling.c:152:6:PQCP_MLKEM_NATIVE_MLKEM768_C_poly_rej_uniform_x4,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/sampling.c.su
1824,static,/home/home/pqc/liboqs/tests/test_sig.c:279:5:main,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sig.dir/test_sig.c.su
1792,static,/home/home/pqc/liboqs/src/sig/sig.c:14:21:OQS_SIG_alg_identifier,build-c-rx-kem-s-resource-audit-v1/src/CMakeFiles/oqs.dir/sig/sig.c.su
1376,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c:376:5:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_dec,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c.su
1376,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c:376:5:PQCP_MLKEM_NATIVE_MLKEM768_C_dec,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c.su
