stack_bytes,mode,descriptor,su_file
1376,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c:376:5:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_dec,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c.su
1376,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c:376:5:PQCP_MLKEM_NATIVE_MLKEM768_C_dec,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c.su
96,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c:76:5:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_check_sk,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c.su
96,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/indcpa.c:805:5:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_indcpa_dec,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/indcpa.c.su
96,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c:76:5:PQCP_MLKEM_NATIVE_MLKEM768_C_check_sk,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c.su
96,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c:805:5:PQCP_MLKEM_NATIVE_MLKEM768_C_indcpa_dec,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c.su
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/kem_ml_kem_768.c:190:20:OQS_KEM_ml_kem_768_decaps,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/kem_ml_kem_768.c.su
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/poly_k.c:61:6:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_polyvec_decompress_du,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/poly_k.c.su
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c:61:6:PQCP_MLKEM_NATIVE_MLKEM768_C_polyvec_decompress_du,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c.su
32,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/indcpa.c:741:5:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_v28_dec_workspace_set,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/indcpa.c.su
